job_id	entity_id	conformation	seed	job_hash
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00322__B_LOWER__H3__B05__M01_9e6y_s917_07e59f441a0a	V29_RF__RFV1__PLDNANO_VHH_00322__B_LOWER__H3__B05__M01	9e6y	917	07e59f441a0a82cf776f56e96e71ba165c5f30a162181acd3fce5795a1d2b007
CANDIDATE_V29_GEN__C0072__9B3D8FCBEF8A1263_8x6b_s917_07f07b061f38	V29_GEN__C0072__9B3D8FCBEF8A1263	8x6b	917	07f07b061f3884d34f9ca5ef708ab2e6ae1445f895160b67e6f24e0720b6f321
CANDIDATE_V29_GEN__C0139__B56C3167A20CCA5B_8x6b_s917_07f3fe97dc0a	V29_GEN__C0139__B56C3167A20CCA5B	8x6b	917	07f3fe97dc0adb0dfe7e3bcc239af554cba2c4f3ae7f17e6bcfea6352bdc82d5
CANDIDATE_V29_GEN__C0114__EE91A4A0BF5C5221_8x6b_s917_07f993b1b478	V29_GEN__C0114__EE91A4A0BF5C5221	8x6b	917	07f993b1b478e57f50b0a88f3461910ce3394fed4d0399c25d8deb7c19837e92
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00866__B_LOWER__H3__B11__M02_8x6b_s917_080619efad12	V29_RF__RFV1__PLDNANO_VHH_00866__B_LOWER__H3__B11__M02	8x6b	917	080619efad123d7f35f6d0e86fd3678068fd2ebbfd77c77832d1f0f28946f601
CANDIDATE_V29_GEN__C0054__41920356ECB7831D_8x6b_s917_08080448cec2	V29_GEN__C0054__41920356ECB7831D	8x6b	917	08080448cec2289b06579710ac6e46f7989c9eb80846279a8d31ad39c3250f95
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00376__C_CROSS__H3__B08__M01_8x6b_s917_080f6d1b3bd6	V29_RF__RFV1__PLDNANO_VHH_00376__C_CROSS__H3__B08__M01	8x6b	917	080f6d1b3bd6c832c480124e9e57a6b6de2c1b97eb689a6425cee41d9a5fd46e
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00322__C_CROSS__H1H3__B07__M00_8x6b_s917_0812becf5084	V29_RF__RFV1__PLDNANO_VHH_00322__C_CROSS__H1H3__B07__M00	8x6b	917	0812becf50841741f11e54c548c4561742a5164f9449d2e13e04733465bebbe0
CANDIDATE_V29_GEN__C0116__64CED671922E457B_9e6y_s917_081a90b48374	V29_GEN__C0116__64CED671922E457B	9e6y	917	081a90b48374fe21cf244a8cdb2f1c3f020694698937d3d4b5bc4b339efc1522
CANDIDATE_V29_GEN__C0119__6040612F0C0B6569_9e6y_s917_08204237d41e	V29_GEN__C0119__6040612F0C0B6569	9e6y	917	08204237d41e96eb443816eeac55aaaeda70a375cddded2939d10266a81a0ed4
