Nanobody-ID	Antigen-ID
P1MCPUFP__CPUFP500K_0091__00523	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0289__00262	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00321	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00889	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00299	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00271	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00279	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00277	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00274	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00276	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00280	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00277	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00281	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00282	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00281	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00302	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0053__00049	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00285	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00286	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00292	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00365	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00372	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00291	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00289	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00290	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00292	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00345	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00298	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00297	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00835	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0006__00089	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00331	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0292__00327	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00593	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0289__00328	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00358	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0083__00037	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00334	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00303	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00313	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00310	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00306	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00308	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00314	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00309	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00314	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00315	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00313	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00337	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0053__00081	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00317	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00318	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00324	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00406	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00417	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00326	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00321	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00322	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00324	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00385	pvrig_8x6b_chainB
