job_id	own_model_count	rli_model_count	common_model_count	model_jaccard	model_set_exact
CANDIDATE_V29_GEN__C0114__D26DE946842EE332_9e6y_s917_0d63e8acbb56	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0114__DB4396E253369388_8x6b_s917_0e3555f097c5	10	10	9	0.8181818181818182	false
CANDIDATE_V29_GEN__C0114__E8EBD0E3516CAFF3_8x6b_s917_1317b45cdf0d	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0115__0201CACB3BF08385_8x6b_s917_217580ba0b3c	9	10	7	0.5833333333333334	false
CANDIDATE_V29_GEN__C0115__0B59886F2D5941A5_9e6y_s917_15a6287cbdea	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0115__35DC17819B4753E5_8x6b_s917_1c8388e30365	10	10	6	0.42857142857142855	false
CANDIDATE_V29_GEN__C0115__3FF45063B66F45A8_9e6y_s917_161201e7719b	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0115__4541463898462BC8_9e6y_s917_1bc8a93ce316	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0115__4BB2E263B4483F5A_9e6y_s917_202988d0b700	9	8	7	0.7	false
CANDIDATE_V29_GEN__C0115__6230D5D8CCAB4A3F_9e6y_s917_13195610c7be	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0115__6C505F6EC9B01625_8x6b_s917_1152002688e3	10	7	3	0.21428571428571427	false
CANDIDATE_V29_GEN__C0115__889126B09697528C_9e6y_s917_11782c9c8bb1	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0115__C3342C098305CA59_8x6b_s917_2107904c8505	10	10	5	0.3333333333333333	false
CANDIDATE_V29_GEN__C0115__EA92E4A1CCE8DF0C_8x6b_s917_0f8a0bca455e	5	5	2	0.25	false
CANDIDATE_V29_GEN__C0116__15C7A899DA4BDFF5_8x6b_s917_0d6272053343	9	9	6	0.5	false
