candidate_id	pose_name	pdb_path	pdb_sha256	antigen_chain	vhh_chain
case02_pos_02_PVRIG-20	case02_pos_02_PVRIG-20__pose02__cluster_2_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose02__cluster_2_model_1.pdb	70addd6d55a3b897806887aef443d5d82af4d87cd0d751ebb97b7e6d0615d624	A	B
case02_pos_02_PVRIG-20	case02_pos_02_PVRIG-20__pose03__cluster_3_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose03__cluster_3_model_1.pdb	a3b8a0e9cc43499b2246d9a998ca84fa2a108d71da532c8df71ddde454a6f45b	A	B
case02_pos_02_PVRIG-20	case02_pos_02_PVRIG-20__pose04__cluster_4_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose04__cluster_4_model_1.pdb	c843f87e68878459a754b6059b67506e8bcf8e9626066228d0967ac39858e6b3	A	B
case02_pos_02_PVRIG-20	case02_pos_02_PVRIG-20__pose05__cluster_4_model_2	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose05__cluster_4_model_2.pdb	1dc1bfe9e3205d649d67205b1b2f95bf7f8b8fe0f35d4275dc39a0aa561b0dd6	A	B
case02_pos_02_PVRIG-20	case02_pos_02_PVRIG-20__pose06__cluster_5_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose06__cluster_5_model_1.pdb	640d7fa1b6c95538e85f210bffd5be351baed36fe7949cfd238f46797204b479	A	B
case02_pos_02_PVRIG-20	case02_pos_02_PVRIG-20__pose07__cluster_6_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose07__cluster_6_model_1.pdb	326fb040355b1b04603ea4e89310eb6dd16c0a6603baa6462a70eb00f39d5f7e	A	B
case02_pos_02_PVRIG-20	case02_pos_02_PVRIG-20__pose08__cluster_7_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose08__cluster_7_model_1.pdb	7e7888d3bcbf970245c2c54f2529313d1e86e25aa5ee22cb74097f833890c351	A	B
case02_pos_02_PVRIG-20	case02_pos_02_PVRIG-20__pose09__cluster_7_model_2	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose09__cluster_7_model_2.pdb	773f8ff07470b789bbfd5293d1805493eb50ab1027c7630f311434a78b6be297	A	B
case02_pos_03_PVRIG-30	case02_pos_03_PVRIG-30__pose01__cluster_1_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_03_PVRIG-30__pose01__cluster_1_model_1.pdb	6457d8fc457be9a73a046908f69e318ec552d50213f251c822c3434434e208d5	A	B
case02_pos_03_PVRIG-30	case02_pos_03_PVRIG-30__pose02__cluster_1_model_2	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_03_PVRIG-30__pose02__cluster_1_model_2.pdb	94f68d6f7f646c8bf8348a66495d1a4bacde5b4910179e117193be117677f98d	A	B
